"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 12 20:19:36 GMT 2024","Tue Mar 12 20:19:36 GMT 2024","339","cocktail DB API Rest Assured Automated Tests","Search Ingredients By Name Tests Cases","tests.SearchIngredientsByNameTest","tests.SearchIngredientsByNameTest","userShouldBeAbleToSearchWithIngredientThatDoesNotExists","Verify is a user is able to search by a name that does not exists in Cocktail DB Api.",""
"passed","Tue Mar 12 20:19:36 GMT 2024","Tue Mar 12 20:19:36 GMT 2024","222","cocktail DB API Rest Assured Automated Tests","Search Ingredients By Name Tests Cases","tests.SearchIngredientsByNameTest","tests.SearchIngredientsByNameTest","userShouldBeAbleToSearchIngredientByNameAndValidateResponse","Verify Cocktail DB is able to search an ingredient by provided name and return specific fields.",""
"passed","Tue Mar 12 20:19:37 GMT 2024","Tue Mar 12 20:19:37 GMT 2024","339","cocktail DB API Rest Assured Automated Tests","Search Ingredients By Name Tests Cases","tests.SearchIngredientsByNameTest","tests.SearchIngredientsByNameTest","verifyIfIngredientIsNonAlcoholicVerifyResponse","Verify an ingredient is non-alcoholic, Alcohol is null and ABV is null",""
"passed","Tue Mar 12 20:19:33 GMT 2024","Tue Mar 12 20:19:35 GMT 2024","1845","cocktail DB API Rest Assured Automated Tests","Search Ingredients By Name Tests Cases","tests.SearchCocktailByNameTests","tests.SearchCocktailByNameTests","cocktailBelongToWhichCategory","Verify which category is a particular cocktail belong to from Cocktail DB API",""
"passed","Tue Mar 12 20:19:35 GMT 2024","Tue Mar 12 20:19:35 GMT 2024","243","cocktail DB API Rest Assured Automated Tests","Search Ingredients By Name Tests Cases","tests.SearchCocktailByNameTests","tests.SearchCocktailByNameTests","searchCocktailsByName","Verify user can search cocktails by name using Cocktail DB API",""
"passed","Tue Mar 12 20:19:36 GMT 2024","Tue Mar 12 20:19:37 GMT 2024","345","cocktail DB API Rest Assured Automated Tests","Search Ingredients By Name Tests Cases","tests.SearchIngredientsByNameTest","tests.SearchIngredientsByNameTest","verifyIfIngredientIsAlcoholicVerifyResponse","Verify a user can search by ingredient with alcoholic,then Alcohol is Yes and ABV is null",""
"passed","Tue Mar 12 20:19:35 GMT 2024","Tue Mar 12 20:19:36 GMT 2024","556","cocktail DB API Rest Assured Automated Tests","Search Ingredients By Name Tests Cases","tests.SearchCocktailByNameTests","tests.SearchCocktailByNameTests","validateCocktailJsonResponseAgainstJsonSchema","Verify Cocktail DB response corresponds with cocktailJsonSchema properties","Test Description: Verify Cocktail DB response corresponds with cocktailJsonSchema properties"
