"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Apr 20 13:15:34 GMT 2024","Sat Apr 20 13:15:34 GMT 2024","236","cocktail DB API Rest Assured Automated Tests","Search Ingredients By Name Tests Cases","tests.SearchIngredientsByNameTest","tests.SearchIngredientsByNameTest","verifyIfIngredientIsNonAlcoholicVerifyResponse","Verify an ingredient is non-alcoholic, Alcohol is null and ABV is null",""
"passed","Sat Apr 20 13:15:33 GMT 2024","Sat Apr 20 13:15:34 GMT 2024","251","cocktail DB API Rest Assured Automated Tests","Search Ingredients By Name Tests Cases","tests.SearchIngredientsByNameTest","tests.SearchIngredientsByNameTest","verifyIfIngredientIsAlcoholicVerifyResponse","Verify a user can search by ingredient with alcoholic,then Alcohol is Yes and ABV is null",""
"passed","Sat Apr 20 13:15:32 GMT 2024","Sat Apr 20 13:15:33 GMT 2024","450","cocktail DB API Rest Assured Automated Tests","Search Ingredients By Name Tests Cases","tests.SearchCocktailByNameTests","tests.SearchCocktailByNameTests","validateCocktailJsonResponseAgainstJsonSchema","Verify Cocktail DB response corresponds with cocktailJsonSchema properties",""
"passed","Sat Apr 20 13:15:33 GMT 2024","Sat Apr 20 13:15:33 GMT 2024","242","cocktail DB API Rest Assured Automated Tests","Search Ingredients By Name Tests Cases","tests.SearchIngredientsByNameTest","tests.SearchIngredientsByNameTest","userShouldBeAbleToSearchWithIngredientThatDoesNotExists","Verify is a user is able to search by a name that does not exists in Cocktail DB Api.",""
"passed","Sat Apr 20 13:15:32 GMT 2024","Sat Apr 20 13:15:32 GMT 2024","260","cocktail DB API Rest Assured Automated Tests","Search Ingredients By Name Tests Cases","tests.SearchCocktailByNameTests","tests.SearchCocktailByNameTests","searchCocktailsByName","Verify user can search cocktails by name using Cocktail DB API",""
"passed","Sat Apr 20 13:15:33 GMT 2024","Sat Apr 20 13:15:33 GMT 2024","273","cocktail DB API Rest Assured Automated Tests","Search Ingredients By Name Tests Cases","tests.SearchIngredientsByNameTest","tests.SearchIngredientsByNameTest","userShouldBeAbleToSearchIngredientByNameAndValidateResponse","Verify Cocktail DB is able to search an ingredient by provided name and return specific fields.",""
"passed","Sat Apr 20 13:15:31 GMT 2024","Sat Apr 20 13:15:32 GMT 2024","1491","cocktail DB API Rest Assured Automated Tests","Search Ingredients By Name Tests Cases","tests.SearchCocktailByNameTests","tests.SearchCocktailByNameTests","cocktailBelongToWhichCategory","Verify which category is a particular cocktail belong to from Cocktail DB API",""
